Physics,Age,Ethinicity,Sex,ID,Maths,DataStructures
41.0,19,1,1,203,45.0,39.0
81.0,19,3,1,204,85.0,79.0
78.0,18,2,2,205,82.0,76.0
62.0,19,3,1,206,66.0,60.0
71.0,20,2,1,207,75.0,69.0
71.0,18,1,1,208,75.0,69.0
91.0,18,1,1,209,95.0,89.0
62.0,19,1,2,210,66.0,60.0
62.0,21,4,1,211,66.0,60.0
84.0,19,1,1,212,88.0,82.0
84.0,19,3,1,213,88.0,82.0
71.0,18,1,1,214,75.0,69.0
62.0,19,1,2,215,66.0,60.0
69.0,19,2,1,216,88.0,68.0
78.0,20,3,1,217,82.0,76.0
78.0,18,1,1,218,82.0,76.0
41.0,19,1,1,219,45.0,39.0
91.0,18,1,2,220,95.0,89.0
62.0,19,3,1,221,66.0,60.0
81.0,21,2,1,222,85.0,79.0
78.0,18,1,1,223,82.0,76.0
87.0,18,2,1,224,91.0,85.0
81.0,21,3,2,225,85.0,79.0
91.0,20,1,1,226,95.0,89.0
49.0,20,3,1,227,53.0,47.0
87.0,20,2,1,228,91.0,85.0
41.0,19,1,1,229,45.0,39.0
61.0,18,2,2,230,65.0,59.0
71.0,20,1,1,231,75.0,69.0
87.0,18,1,1,232,91.0,85.0
49.0,20,2,1,233,53.0,47.0
49.0,18,3,1,234,53.0,47.0
49.0,18,1,2,235,53.0,47.0
91.0,18,3,1,236,95.0,89.0
71.0,20,1,1,237,75.0,69.0
91.0,20,3,1,238,95.0,89.0
78.0,18,1,1,239,82.0,76.0
49.0,18,1,2,240,53.0,47.0
91.0,18,2,1,241,95.0,89.0
71.0,20,2,1,242,75.0,69.0
62.0,18,3,1,243,66.0,60.0
87.0,20,1,1,244,91.0,85.0
87.0,20,2,2,245,91.0,85.0
81.0,18,3,1,246,85.0,79.0
71.0,20,4,1,247,75.0,69.0
62.0,18,1,1,248,66.0,60.0
71.0,20,1,1,249,75.0,69.0
84.0,19,2,2,250,88.0,82.0
84.0,18,4,1,251,88.0,82.0
78.0,20,2,1,252,82.0,76.0
61.0,18,2,1,253,65.0,59.0
41.0,19,4,1,254,45.0,39.0
81.0,18,2,2,255,85.0,79.0
61.0,19,1,1,256,65.0,59.0
71.0,20,1,1,257,75.0,69.0
71.0,18,2,1,258,75.0,69.0
49.0,20,1,1,259,53.0,47.0
41.0,18,1,2,260,45.0,39.0
87.0,18,1,1,261,91.0,85.0
91.0,18,1,1,262,95.0,89.0
91.0,18,3,1,263,95.0,89.0
78.0,20,1,1,264,82.0,76.0
49.0,18,1,2,265,53.0,47.0
62.0,21,2,1,266,66.0,60.0
41.0,19,1,1,267,45.0,39.0
78.0,20,1,1,268,82.0,76.0
61.0,19,2,1,269,65.0,59.0
61.0,19,3,2,270,65.0,59.0
84.0,21,3,1,271,88.0,82.0
78.0,20,1,1,272,82.0,76.0
91.0,18,3,1,273,95.0,89.0
49.0,20,1,1,274,53.0,47.0
87.0,18,1,2,275,91.0,85.0
61.0,19,1,1,276,65.0,59.0
61.0,19,4,1,277,65.0,59.0
87.0,18,1,1,278,91.0,85.0
62.0,18,1,1,279,66.0,60.0
61.0,19,2,2,280,65.0,59.0
41.0,19,2,1,281,45.0,39.0
87.0,20,1,1,282,91.0,85.0
41.0,21,1,1,283,45.0,39.0
49.0,20,3,1,284,53.0,47.0
71.0,18,3,2,285,75.0,69.0
49.0,18,1,1,286,53.0,47.0
91.0,18,1,1,287,95.0,89.0
91.0,18,1,1,288,95.0,89.0
81.0,19,2,1,289,85.0,79.0
87.0,20,1,2,290,91.0,85.0
62.0,19,2,1,291,66.0,60.0
91.0,20,2,1,292,95.0,89.0
84.0,19,2,1,293,88.0,82.0
81.0,19,1,1,294,85.0,79.0
62.0,18,2,2,295,66.0,60.0
91.0,20,2,1,296,95.0,89.0
87.0,18,4,1,297,91.0,85.0
91.0,20,2,1,298,95.0,89.0
81.0,18,1,1,299,85.0,79.0
87.0,18,3,2,300,91.0,85.0
60.0,19,1,1,301,64.0,58.0
49.0,18,1,1,302,53.0,47.0
81.0,19,2,1,303,85.0,79.0
62.0,21,3,1,304,66.0,60.0
49.0,20,4,2,305,53.0,47.0
78.0,20,3,1,306,82.0,76.0
71.0,18,2,1,307,75.0,69.0
71.0,18,1,1,308,75.0,69.0
60.0,19,2,1,309,64.0,58.0
84.0,19,2,2,310,88.0,82.0
87.0,20,3,1,311,91.0,85.0
71.0,18,1,1,312,75.0,69.0
62.0,21,2,1,313,66.0,60.0
78.0,18,1,1,314,82.0,76.0
41.0,21,3,2,315,45.0,39.0
62.0,19,3,1,316,66.0,60.0
62.0,19,3,1,317,66.0,60.0
87.0,20,1,1,318,91.0,85.0
62.0,19,1,1,319,66.0,60.0
71.0,18,1,2,320,75.0,69.0
87.0,20,1,1,321,91.0,85.0
41.0,18,3,1,322,45.0,39.0
71.0,18,1,1,323,75.0,69.0
71.0,20,2,1,324,75.0,69.0
61.0,21,2,2,325,65.0,59.0
62.0,19,1,1,326,66.0,60.0
81.0,19,1,1,327,85.0,79.0
61.0,21,1,1,328,65.0,59.0
91.0,20,1,1,329,95.0,89.0
91.0,18,2,2,330,95.0,89.0
91.0,18,3,1,331,95.0,89.0
49.0,20,1,1,332,53.0,47.0
62.0,19,3,1,333,66.0,60.0
62.0,18,3,1,334,66.0,60.0
49.0,20,2,2,335,53.0,47.0
91.0,20,3,1,336,95.0,89.0
87.0,20,1,1,337,91.0,85.0
61.0,19,3,1,338,65.0,59.0
84.0,18,1,1,339,88.0,82.0
84.0,21,1,2,340,88.0,82.0
61.0,19,2,1,341,65.0,59.0
62.0,19,4,1,342,66.0,60.0
62.0,21,1,1,343,66.0,60.0
41.0,18,1,1,344,45.0,39.0
84.0,21,2,2,345,88.0,82.0
91.0,20,1,1,346,95.0,89.0
62.0,19,2,1,347,66.0,60.0
87.0,18,3,1,348,91.0,85.0
81.0,19,1,1,349,85.0,79.0
61.0,19,1,2,350,65.0,59.0
71.0,18,1,1,351,75.0,69.0
27.0,18,2,1,352,31.0,25.0
61.0,18,1,1,353,65.0,59.0
91.0,18,3,1,354,95.0,89.0
78.0,20,1,2,355,82.0,76.0
78.0,18,1,1,356,82.0,76.0
61.0,18,3,1,357,65.0,59.0
84.0,21,1,1,358,88.0,82.0
71.0,18,1,1,359,75.0,69.0
41.0,21,1,2,360,45.0,39.0
41.0,18,3,1,361,45.0,39.0
71.0,20,4,1,362,75.0,69.0
84.0,19,2,1,363,88.0,82.0
81.0,19,1,1,364,85.0,79.0
62.0,19,1,2,365,66.0,60.0
62.0,18,2,1,366,66.0,60.0
71.0,20,3,1,367,75.0,69.0
71.0,20,2,1,368,75.0,69.0
41.0,19,2,1,369,45.0,39.0
87.0,20,1,2,370,91.0,85.0
87.0,18,2,1,371,91.0,85.0
78.0,18,3,1,372,82.0,76.0
71.0,20,1,1,373,75.0,69.0
87.0,20,3,1,374,91.0,85.0
84.0,19,2,2,375,88.0,82.0
84.0,21,1,1,376,88.0,82.0
62.0,19,1,1,377,66.0,60.0
91.0,18,1,1,378,95.0,89.0
41.0,18,1,1,379,45.0,39.0
49.0,20,1,2,380,53.0,47.0
87.0,20,2,1,381,91.0,85.0
71.0,18,2,1,382,75.0,69.0
62.0,21,3,1,383,66.0,60.0
62.0,19,1,1,384,66.0,60.0
87.0,20,1,2,385,91.0,85.0
81.0,18,1,1,386,85.0,79.0
78.0,20,2,1,387,82.0,76.0
62.0,19,1,1,388,66.0,60.0
71.0,18,1,1,389,75.0,69.0
87.0,18,2,2,390,91.0,85.0
41.0,19,1,1,391,45.0,39.0
78.0,20,1,1,392,74.0,76.0
87.0,20,1,1,393,91.0,85.0
71.0,18,1,1,394,75.0,69.0
78.0,20,2,2,395,82.0,76.0
91.0,20,2,1,396,95.0,89.0
84.0,19,1,1,397,88.0,82.0
61.0,19,1,1,398,65.0,59.0
81.0,21,3,1,399,85.0,79.0
87.0,18,1,2,400,91.0,85.0
87.0,20,3,1,401,91.0,85.0
49.0,20,3,1,402,53.0,47.0
91.0,20,1,1,403,95.0,89.0
91.0,18,4,1,404,95.0,89.0
49.0,18,3,2,405,53.0,47.0
41.0,19,1,1,406,45.0,39.0
71.0,18,1,1,407,75.0,69.0
61.0,18,1,1,408,65.0,59.0
41.0,19,2,1,409,45.0,39.0
78.0,18,2,2,410,82.0,76.0
78.0,18,3,1,411,82.0,76.0
62.0,19,2,1,412,66.0,60.0
61.0,21,1,1,413,65.0,59.0
62.0,19,1,1,414,66.0,60.0
91.0,18,1,2,415,95.0,89.0
41.0,21,1,1,416,45.0,39.0
61.0,19,2,1,417,65.0,59.0
57.0,19,2,1,418,88.0,68.0
61.0,19,3,1,419,65.0,59.0
81.0,18,1,2,420,85.0,79.0
71.0,18,3,1,421,75.0,69.0
78.0,20,4,1,422,82.0,76.0
78.0,20,1,1,423,82.0,76.0
62.0,21,1,1,424,66.0,60.0
81.0,19,2,2,425,85.0,79.0
71.0,18,1,1,426,75.0,69.0
87.0,20,1,1,427,91.0,85.0
61.0,19,3,1,428,65.0,59.0
78.0,20,1,1,429,82.0,76.0
41.0,18,2,2,430,45.0,39.0
91.0,20,2,1,431,95.0,89.0
84.0,18,1,1,432,88.0,82.0
49.0,18,1,1,433,53.0,47.0
78.0,18,1,1,434,82.0,76.0
62.0,19,1,2,435,66.0,60.0
87.0,20,1,1,436,91.0,85.0
41.0,18,1,1,437,45.0,39.0
49.0,18,2,1,438,53.0,47.0
81.0,19,1,1,439,85.0,79.0
87.0,18,1,2,440,91.0,85.0
49.0,18,2,1,441,53.0,47.0
84.0,19,3,1,442,88.0,82.0
81.0,18,2,1,443,85.0,79.0
41.0,19,3,1,444,45.0,39.0
49.0,18,1,2,445,53.0,47.0
71.0,20,3,1,446,75.0,69.0
81.0,19,4,1,447,85.0,79.0
62.0,19,1,1,448,66.0,60.0
78.0,20,1,1,449,82.0,76.0
81.0,19,3,2,450,85.0,79.0
78.0,20,1,1,451,82.0,76.0
78.0,18,2,1,452,82.0,76.0
91.0,18,3,1,453,95.0,89.0
81.0,19,3,1,454,85.0,79.0
71.0,20,1,2,455,75.0,69.0
87.0,20,3,1,456,91.0,85.0
91.0,18,1,1,457,95.0,89.0
91.0,20,2,1,458,95.0,89.0
49.0,18,2,1,459,53.0,47.0
81.0,18,4,2,460,85.0,79.0
91.0,20,1,1,461,95.0,89.0
61.0,19,2,1,462,65.0,59.0
87.0,20,1,1,463,91.0,85.0
71.0,20,3,1,464,75.0,69.0
45.0,21,1,2,465,45.0,68.0
49.0,20,3,1,466,53.0,47.0
84.0,21,2,1,467,88.0,82.0
62.0,18,1,1,468,66.0,60.0
49.0,18,3,1,469,53.0,47.0
78.0,18,1,2,470,82.0,76.0
78.0,18,1,1,471,82.0,76.0
49.0,20,3,1,472,53.0,47.0
81.0,21,4,1,473,85.0,79.0
41.0,21,3,1,474,45.0,39.0
87.0,20,1,2,475,91.0,85.0
78.0,20,1,1,476,82.0,76.0
41.0,19,1,1,477,45.0,39.0
71.0,18,1,1,478,75.0,69.0
91.0,18,1,1,479,95.0,89.0
84.0,21,1,2,480,88.0,82.0
84.0,19,1,1,481,88.0,82.0
81.0,18,3,1,482,85.0,79.0
78.0,20,2,1,483,82.0,76.0
62.0,19,1,1,484,66.0,60.0
84.0,18,3,2,485,88.0,82.0
87.0,20,1,1,486,91.0,85.0
91.0,20,1,1,487,95.0,89.0
71.0,18,1,1,488,75.0,69.0
71.0,18,3,1,489,75.0,69.0
49.0,20,2,2,490,53.0,47.0
84.0,18,2,1,491,88.0,82.0
78.0,20,2,1,492,82.0,76.0
84.0,19,1,1,493,88.0,82.0
87.0,20,1,1,494,91.0,85.0
71.0,18,2,2,495,75.0,69.0
71.0,18,2,1,496,75.0,69.0
87.0,18,3,1,497,91.0,85.0
81.0,19,1,1,498,85.0,79.0
84.0,18,2,1,499,88.0,82.0
49.0,18,1,2,500,53.0,47.0
49.0,20,1,1,501,53.0,47.0
61.0,18,2,1,502,65.0,59.0
87.0,18,2,1,503,91.0,85.0
87.0,18,3,1,504,91.0,85.0
41.0,19,3,2,505,45.0,39.0
62.0,21,2,1,506,66.0,60.0
62.0,21,1,1,507,66.0,60.0
49.0,18,1,1,508,53.0,47.0
61.0,19,1,1,509,65.0,59.0
49.0,18,1,2,510,53.0,47.0
87.0,18,1,1,511,91.0,85.0
78.0,20,2,1,512,82.0,76.0
41.0,19,1,1,513,45.0,39.0
61.0,19,1,1,514,65.0,59.0
61.0,18,1,2,515,65.0,59.0
49.0,18,2,1,516,53.0,47.0
78.0,18,1,1,517,82.0,76.0
84.0,19,4,1,518,88.0,82.0
91.0,20,1,1,519,95.0,89.0
60.0,19,3,2,520,64.0,58.0
78.0,20,2,1,521,82.0,76.0
41.0,19,2,1,522,45.0,39.0
49.0,18,1,1,523,53.0,47.0
41.0,21,3,1,524,45.0,39.0
81.0,19,1,2,525,85.0,79.0
87.0,18,3,1,526,91.0,85.0
71.0,20,3,1,527,75.0,69.0
84.0,18,1,1,528,88.0,82.0
41.0,19,3,1,529,45.0,39.0
84.0,19,1,2,530,88.0,82.0
41.0,18,1,1,531,45.0,39.0
61.0,21,2,1,532,65.0,59.0
41.0,21,2,1,533,45.0,39.0
84.0,21,1,1,534,88.0,82.0
91.0,20,1,2,535,95.0,89.0
91.0,20,2,1,536,95.0,89.0
78.0,18,3,1,537,82.0,76.0
61.0,19,2,1,538,65.0,59.0
87.0,18,3,1,539,91.0,85.0
61.0,18,2,2,540,65.0,59.0
62.0,21,1,1,541,66.0,60.0
91.0,18,2,1,542,95.0,89.0
78.0,18,4,1,543,82.0,76.0
71.0,20,2,1,544,75.0,69.0
78.0,20,2,2,545,82.0,76.0
81.0,19,1,1,546,85.0,79.0
61.0,19,1,1,547,65.0,59.0
84.0,18,1,1,548,88.0,82.0
81.0,19,1,1,549,85.0,79.0
78.0,20,4,2,550,82.0,76.0
78.0,18,1,1,551,82.0,76.0
87.0,18,1,1,552,91.0,85.0
81.0,19,1,1,553,85.0,79.0
61.0,21,3,1,554,65.0,59.0
62.0,19,1,2,555,66.0,60.0
78.0,18,1,1,556,82.0,76.0
62.0,19,2,1,557,66.0,60.0
61.0,19,3,1,558,65.0,59.0
87.0,18,2,1,559,91.0,85.0
91.0,20,1,2,560,95.0,89.0
62.0,18,4,1,561,66.0,60.0
49.0,20,1,1,562,53.0,47.0
61.0,19,1,1,563,65.0,59.0
41.0,18,2,1,564,45.0,39.0
61.0,21,1,2,565,74.0,59.0
61.0,18,1,1,566,65.0,59.0
62.0,21,2,1,567,66.0,60.0
49.0,18,4,1,568,53.0,47.0
91.0,20,1,1,569,95.0,89.0
61.0,19,3,2,570,65.0,59.0
41.0,19,2,1,571,45.0,39.0
78.0,20,3,1,572,82.0,76.0
49.0,18,2,1,573,53.0,47.0
81.0,18,2,1,574,85.0,79.0
71.0,20,2,2,575,75.0,69.0
81.0,21,1,1,576,85.0,79.0
71.0,18,1,1,577,75.0,69.0
81.0,19,1,1,578,85.0,79.0
78.0,18,1,1,579,82.0,76.0
61.0,21,1,2,580,65.0,59.0
91.0,18,4,1,581,95.0,89.0
87.0,20,1,1,582,91.0,85.0
41.0,21,3,1,583,45.0,39.0
91.0,18,3,1,584,95.0,89.0
87.0,18,2,2,585,91.0,85.0
49.0,20,1,1,586,53.0,47.0
81.0,19,1,1,587,85.0,79.0
41.0,18,3,1,588,45.0,39.0
84.0,19,2,1,589,88.0,82.0
78.0,20,3,2,590,82.0,76.0
61.0,19,1,1,591,65.0,59.0
84.0,19,3,1,592,88.0,82.0
87.0,20,3,1,593,91.0,85.0
84.0,19,2,1,594,88.0,82.0
41.0,19,1,2,595,45.0,39.0
71.0,18,1,1,596,75.0,69.0
49.0,20,1,1,597,53.0,47.0
71.0,20,3,1,598,75.0,69.0
69.0,19,3,1,599,88.0,68.0
